,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
23751,read laying sort forget boiling sun sweat poring face  🙌 ,read laying sort forget boiling sun sweat poring face   🙌  ,read laying sort forget boiling sun sweat poring face   ,🙌,,0
23765,potentially going holiday days fit time panic  🤔 ,potentially going holiday days fit time panic   🤔  ,potentially going holiday days fit time panic   ,🤔,,0
23770,you wrong dont fret  😟 ,you wrong dont fret   😟  ,you wrong dont fret   ,😟,,0
23773,an ignominious end digital  😱  everyone phone,an ignominious end digital   😱   everyone phone,an ignominious end digital    everyone phone,😱,😱,0
23787,i lots roller skate new different sizes every single screw  😭 ,i lots roller skate new different sizes every single screw   😭  ,i lots roller skate new different sizes every single screw   ,😭,😭,0
23833,motivation fear  ✨ ,motivation fear   ✨  ,motivation fear   ,✨,,0
23835,i want friendship group like  😧 ,i want friendship group like   😧  ,i want friendship group like   ,😧,😧,0
23844,i hope dont animosity new  🙇🏽‍♀️ ,i hope dont animosity new   🙇  🏽 ‍ ♀ ️ ,i hope dont animosity new  ‍️ ,🙇 🏽 ♀,,0
23858,looking cross wince  😂 ,looking cross wince   😂  ,looking cross wince   ,😂,😂,0
23869,not room  😱 ,not room   😱  ,not room   ,😱,😱,0
23891,may god grant ability his unfailing love earth  🌏  awe,may god grant ability his unfailing love earth   🌏   awe,may god grant ability his unfailing love earth    awe,🌏,,0
23898,sorry i dont know i know  😂  but sadly it wont create account,sorry i dont know i know   😂   but sadly it wont create account,sorry i dont know i know    but sadly it wont create account,😂,😂,0
23899,feeling blind new specs  😰 ,feeling blind new specs   😰  ,feeling blind new specs   ,😰,😰,0
23901,i mico  😭 ,i mico   😭  ,i mico   ,😭,😭,0
23907,i hope dont release horrendous looking copper color might walk pocket  😂 ,i hope dont release horrendous looking copper color might walk pocket   😂  ,i hope dont release horrendous looking copper color might walk pocket   ,😂,😂,0
23924,writing disturbing mind writing shudder  😒 ,writing disturbing mind writing shudder   😒  ,writing disturbing mind writing shudder   ,😒,,0
23926,when working shopping prime instead  😦 ,when working shopping prime instead   😦  ,when working shopping prime instead   ,😦,😦,0
23939,do fall asleep set alarm lord wakes time anyways  🙌🏻 ,do fall asleep set alarm lord wakes time anyways   🙌  🏻  ,do fall asleep set alarm lord wakes time anyways   ,🙌 🏻,,0
23945,dismayed decision pull eu may rejoin  😉 ,dismayed decision pull eu may rejoin   😉  ,dismayed decision pull eu may rejoin   ,😉,😉,0
23957,easy unhappy  😐 ,easy unhappy   😐  ,easy unhappy   ,😐,😐,0
23963,my main concern wife thats stuck strong  😟 ,my main concern wife thats stuck strong   😟  ,my main concern wife thats stuck strong   ,😟,,0
23964, ☹ ,  ☹  ,  ,☹,☹,0
23979,fail need now  😢 ,fail need now   😢  ,fail need now   ,😢,😢,0
23996,ill question ready its directed dont shy respond  😀 ,ill question ready its directed dont shy respond   😀  ,ill question ready its directed dont shy respond   ,😀,😀,0
23997,evening  😍  such incredible slick choreography holy moly awe,evening   😍   such incredible slick choreography holy moly awe,evening    such incredible slick choreography holy moly awe,😍,😍,0
23999,oh  😍  evolution,oh   😍   evolution,oh    evolution,😍,😍,0
24000,fell sofa laughing point the wee jump  😭 ,fell sofa laughing point the wee jump   😭  ,fell sofa laughing point the wee jump   ,😭,😭,0
24021,man  😡  face head hurting,man   😡   face head hurting,man    face head hurting,😡,😡,0
24022,tip day dont filling cavity  😰 ,tip day dont filling cavity   😰  ,tip day dont filling cavity   ,😰,😰,0
24039,power hungry people fearful wouldnt chill  👏 ,power hungry people fearful wouldnt chill   👏  ,power hungry people fearful wouldnt chill   ,👏,,0
24048,again headache  😰 ,again headache   😰  ,again headache   ,😰,😰,0
24055,these terrible  😂  thats  🤷🏾‍♀️ ,these terrible   😂   thats   🤷  🏾 ‍ ♀ ️ ,these terrible    thats  ‍️ ,😂 🤷 🏾 ♀,😂,0
24064,watching night smoke tense sound effects lively commentary boring dull  🙈 ,watching night smoke tense sound effects lively commentary boring dull   🙈  ,watching night smoke tense sound effects lively commentary boring dull   ,🙈,,0
24067,once ill graduate i hope ill time start learning long  😢 ,once ill graduate i hope ill time start learning long   😢  ,once ill graduate i hope ill time start learning long   ,😢,😢,0
24068,day  😱 ,day   😱  ,day   ,😱,😱,0
24076,all great news hurting folk happy  😊 ,all great news hurting folk happy   😊  ,all great news hurting folk happy   ,😊,😊,0
24077,i hope didnt scare people figure midnight  😂 ,i hope didnt scare people figure midnight   😂  ,i hope didnt scare people figure midnight   ,😂,😂,0
24082,i didnt we went got local instead  😄 ,i didnt we went got local instead   😄  ,i didnt we went got local instead   ,😄,😄,0
24104,it wasnt enough  😢 ,it wasnt enough   😢  ,it wasnt enough   ,😢,😢,0
24118,lever decompression lever oil pump clutch  😱 ,lever decompression lever oil pump clutch   😱  ,lever decompression lever oil pump clutch   ,😱,😱,0
24125,havent speak calling trip terrible  🙃 ,havent speak calling trip terrible   🙃  ,havent speak calling trip terrible   ,🙃,,0
24131,i think i anger  😐 ,i think i anger   😐  ,i think i anger   ,😐,😐,0
24140,feeling existential dread bash mass surveillance  🌱 ,feeling existential dread bash mass surveillance   🌱  ,feeling existential dread bash mass surveillance   ,🌱,,0
24153,low key molly like point prove  😂  insecure,low key molly like point prove   😂   insecure,low key molly like point prove    insecure,😂,😂,0
24156,poetry love  ❤️  i love heart i love soul i love real i shy,poetry love   ❤ ️  i love heart i love soul i love real i shy,poetry love  ️  i love heart i love soul i love real i shy,❤,❤,0
24162,i wake alarm goes  🙄 ,i wake alarm goes   🙄  ,i wake alarm goes   ,🙄,,0
24165,i think i tomorrow i aint ready  😥 ,i think i tomorrow i aint ready   😥  ,i think i tomorrow i aint ready   ,😥,😥,0
24196,well new aa advert absolutely terrifying  😭  creepy possessed,well new aa advert absolutely terrifying   😭   creepy possessed,well new aa advert absolutely terrifying    creepy possessed,😭,😭,0
24200, 😱  thats terrible,  😱   thats terrible,   thats terrible,😱,😱,0
24202,sick w my ex na getting crap you like month  😂 ,sick w my ex na getting crap you like month   😂  ,sick w my ex na getting crap you like month   ,😂,😂,0
24228,received award work today doesnt mean i need stage good thanks let work shaking  😳 ,received award work today doesnt mean i need stage good thanks let work shaking   😳  ,received award work today doesnt mean i need stage good thanks let work shaking   ,😳,,0
24235,air disrespectful  😡 ,air disrespectful   😡  ,air disrespectful   ,😡,😡,0
24245,i woke moody gon die today  😠 ,i woke moody gon die today   😠  ,i woke moody gon die today   ,😠,😠,0
24248,i thought cried relative death know truth i burst  😂 ,i thought cried relative death know truth i burst   😂  ,i thought cried relative death know truth i burst   ,😂,😂,0
24251,good thats step step start spare horror  😂 ,good thats step step start spare horror   😂  ,good thats step step start spare horror   ,😂,😂,0
24260,u posting gym week ur buy  😂  ur willing lie,u posting gym week ur buy   😂   ur willing lie,u posting gym week ur buy    ur willing lie,😂,😂,0
24267,karma real bitch mean horrid paying price  😂 ,karma real bitch mean horrid paying price   😂  ,karma real bitch mean horrid paying price   ,😂,😂,0
24276,ugh not vile men  😱 ,ugh not vile men   😱  ,ugh not vile men   ,😱,😱,0
24280,getting mad like like  🤣 ,getting mad like like   🤣  ,getting mad like like   ,🤣,,0
24281,wanting shoot waterfall i saw snake river  🙁 ,wanting shoot waterfall i saw snake river   🙁  ,wanting shoot waterfall i saw snake river   ,🙁,,0
24287,when work button comes shorts  😐  fatty,when work button comes shorts   😐   fatty,when work button comes shorts    fatty,😐,😐,0
24292,actually miss lot  😰 ,actually miss lot   😰  ,actually miss lot   ,😰,😰,0
24299, 😱  mind te,  😱   mind te,   mind te,😱,😱,0
24306,lady literally  🙃 ,lady literally   🙃  ,lady literally   ,🙃,,0
24315,which try  😱  i tried different obscure worked,which try   😱   i tried different obscure worked,which try    i tried different obscure worked,😱,😱,0
24318,the hotel alarm clock going morning unplug  😤 ,the hotel alarm clock going morning unplug   😤  ,the hotel alarm clock going morning unplug   ,😤,😤,0
24324,girl on teen screaming dilated  😭  i i wouldnt water,girl on teen screaming dilated   😭   i i wouldnt water,girl on teen screaming dilated    i i wouldnt water,😭,😭,0
24341,so exhausted i  😭 ,so exhausted i   😭  ,so exhausted i   ,😭,😭,0
24342,fan i hate joe buck glad old  😂  bitter,fan i hate joe buck glad old   😂   bitter,fan i hate joe buck glad old    bitter,😂,😂,0
24364,me start semester mids passing quit  😡 ,me start semester mids passing quit   😡  ,me start semester mids passing quit   ,😡,😡,0
24373,know  😰 ,know   😰  ,know   ,😰,😰,0
24384,people worst going tell i know bout life thats i i care  😤 ,people worst going tell i know bout life thats i i care   😤  ,people worst going tell i know bout life thats i i care   ,😤,😤,0
24408,how attend men  😱 ,how attend men   😱  ,how attend men   ,😱,😱,0
24411,horrible interview u talk paper bag u dont buy crap coming ur mouth  👎 ,horrible interview u talk paper bag u dont buy crap coming ur mouth   👎  ,horrible interview u talk paper bag u dont buy crap coming ur mouth   ,👎,,0
24412,they days bleak  😬 ,they days bleak   😬  ,they days bleak   ,😬,😬,0
24424,poor dogs have bite sun bitch  😠 ,poor dogs have bite sun bitch   😠  ,poor dogs have bite sun bitch   ,😠,😠,0
24428,picture  😰 ,picture   😰  ,picture   ,😰,😰,0
24435,battery drain red hot  🙁 ,battery drain red hot   🙁  ,battery drain red hot   ,🙁,,0
24436,when dread going work early morning come home happy smiling  💕   😎 ,when dread going work early morning come home happy smiling   💕     😎  ,when dread going work early morning come home happy smiling      ,💕 😎,💕 😎,0
24449,chose right  😰 ,chose right   😰  ,chose right   ,😰,😰,0
24450,probably choice frankly kind  😲 ,probably choice frankly kind   😲  ,probably choice frankly kind   ,😲,,0
24452,today great start  🙄 ,today great start   🙄  ,today great start   ,🙄,,0
24454,step dealing open both first  🤦🏾‍♀️ ,step dealing open both first   🤦  🏾 ‍ ♀ ️ ,step dealing open both first  ‍️ ,🤦 🏾 ♀,,0
24469,pound despite because idiocy arrogance  ☹️ ,pound despite because idiocy arrogance   ☹ ️ ,pound despite because idiocy arrogance  ️ ,☹,☹,0
24486,have occupational place drug test yet dont know heck going just great blah  😡 ,have occupational place drug test yet dont know heck going just great blah   😡  ,have occupational place drug test yet dont know heck going just great blah   ,😡,😡,0
24490,and let depression stage  🙃 ,and let depression stage   🙃  ,and let depression stage   ,🙃,,0
24502,look u  ❤️  like be help love fear longing pain,look u   ❤ ️  like be help love fear longing pain,look u  ️  like be help love fear longing pain,❤,❤,0
24508,oh jumper turned colder  😟  have terrific,oh jumper turned colder   😟   have terrific,oh jumper turned colder    have terrific,😟,,0
24517, 🤦🏻‍♀️  we and basically choice trump pence al  🤢 ,  🤦  🏻 ‍ ♀ ️  we and basically choice trump pence al   🤢  , ‍️  we and basically choice trump pence al   ,🤦 🏻 ♀ 🤢,,0
24521,spotted huge privacy issue  😱 ,spotted huge privacy issue   😱  ,spotted huge privacy issue   ,😱,😱,0
24522,this time tomorrow ill airport trek journey  👀 ,this time tomorrow ill airport trek journey   👀  ,this time tomorrow ill airport trek journey   ,👀,,0
24523,i think i finally admit i need dentist  😢  little bit toothache night  😓  fear,i think i finally admit i need dentist   😢   little bit toothache night   😓   fear,i think i finally admit i need dentist    little bit toothache night    fear,😢 😓,😢 😓,0
